date,city,housing_starts_total
2010-01-01,Vancouver,917.0
2010-02-01,Vancouver,1402.0
2010-03-01,Vancouver,879.0
2010-04-01,Vancouver,1260.0
2010-05-01,Vancouver,1173.0
2010-06-01,Vancouver,1250.0
2010-07-01,Vancouver,1124.0
2010-08-01,Vancouver,1488.0
2010-09-01,Vancouver,1644.0
2010-10-01,Vancouver,1447.0
2010-11-01,Vancouver,918.0
2010-12-01,Vancouver,1715.0
2011-01-01,Vancouver,1436.0
2011-02-01,Vancouver,1414.0
2011-03-01,Vancouver,958.0
2011-04-01,Vancouver,1329.0
2011-05-01,Vancouver,1991.0
2011-06-01,Vancouver,1344.0
2011-07-01,Vancouver,1538.0
2011-08-01,Vancouver,1467.0
2011-09-01,Vancouver,1783.0
2011-10-01,Vancouver,1722.0
2011-11-01,Vancouver,1686.0
2011-12-01,Vancouver,1199.0
2012-01-01,Vancouver,1554.0
2012-02-01,Vancouver,1870.0
2012-03-01,Vancouver,1207.0
2012-04-01,Vancouver,1332.0
2012-05-01,Vancouver,1692.0
2012-06-01,Vancouver,2252.0
2012-07-01,Vancouver,1435.0
2012-08-01,Vancouver,1770.0
2012-09-01,Vancouver,1716.0
2012-10-01,Vancouver,1772.0
2012-11-01,Vancouver,1240.0
2012-12-01,Vancouver,1187.0
2013-01-01,Vancouver,1246.0
2013-02-01,Vancouver,1110.0
2013-03-01,Vancouver,1624.0
2013-04-01,Vancouver,1504.0
2013-05-01,Vancouver,1260.0
2013-06-01,Vancouver,1928.0
2013-07-01,Vancouver,2009.0
2013-08-01,Vancouver,1530.0
2013-09-01,Vancouver,1730.0
2013-10-01,Vancouver,1532.0
2013-11-01,Vancouver,1476.0
2013-12-01,Vancouver,1747.0
2014-01-01,Vancouver,1539.0
2014-02-01,Vancouver,1175.0
2014-03-01,Vancouver,1659.0
2014-04-01,Vancouver,1474.0
2014-05-01,Vancouver,1694.0
2014-06-01,Vancouver,1564.0
2014-07-01,Vancouver,1608.0
2014-08-01,Vancouver,2291.0
2014-09-01,Vancouver,1637.0
2014-10-01,Vancouver,1232.0
2014-11-01,Vancouver,1621.0
2014-12-01,Vancouver,1718.0
2015-01-01,Vancouver,1312.0
2015-02-01,Vancouver,1042.0
2015-03-01,Vancouver,1929.0
2015-04-01,Vancouver,2003.0
2015-05-01,Vancouver,1481.0
2015-06-01,Vancouver,2171.0
2015-07-01,Vancouver,2317.0
2015-08-01,Vancouver,1462.0
2015-09-01,Vancouver,1519.0
2015-10-01,Vancouver,2089.0
2015-11-01,Vancouver,1481.0
2015-12-01,Vancouver,2057.0
2016-01-01,Vancouver,1761.0
2016-02-01,Vancouver,3024.0
2016-03-01,Vancouver,2296.0
2016-04-01,Vancouver,2751.0
2016-05-01,Vancouver,2011.0
2016-06-01,Vancouver,2997.0
2016-07-01,Vancouver,2113.0
2016-08-01,Vancouver,2053.0
2016-09-01,Vancouver,3090.0
2016-10-01,Vancouver,1013.0
2016-11-01,Vancouver,2651.0
2016-12-01,Vancouver,2154.0
2017-01-01,Vancouver,1334.0
2017-02-01,Vancouver,1449.0
2017-03-01,Vancouver,2486.0
2017-04-01,Vancouver,2480.0
2017-05-01,Vancouver,2482.0
2017-06-01,Vancouver,2042.0
2017-07-01,Vancouver,2398.0
2017-08-01,Vancouver,1781.0
2017-09-01,Vancouver,1573.0
2017-10-01,Vancouver,2902.0
2017-11-01,Vancouver,2569.0
2017-12-01,Vancouver,2708.0
2018-01-01,Vancouver,2599.0
2018-02-01,Vancouver,1620.0
2018-03-01,Vancouver,2645.0
2018-04-01,Vancouver,1969.0
2018-05-01,Vancouver,2262.0
2018-06-01,Vancouver,1467.0
2018-07-01,Vancouver,2157.0
2018-08-01,Vancouver,2094.0
2018-09-01,Vancouver,1242.0
2018-10-01,Vancouver,1483.0
2018-11-01,Vancouver,1854.0
2018-12-01,Vancouver,2012.0
2019-01-01,Vancouver,2067.0
2019-02-01,Vancouver,1999.0
2019-03-01,Vancouver,1706.0
2019-04-01,Vancouver,2872.0
2019-05-01,Vancouver,3590.0
2019-06-01,Vancouver,3489.0
2019-07-01,Vancouver,2698.0
2019-08-01,Vancouver,1682.0
2019-09-01,Vancouver,2126.0
2019-10-01,Vancouver,1319.0
2019-11-01,Vancouver,2315.0
2019-12-01,Vancouver,2278.0
2020-01-01,Vancouver,1024.0
2020-02-01,Vancouver,1630.0
2020-03-01,Vancouver,1726.0
2020-04-01,Vancouver,1285.0
2020-05-01,Vancouver,2094.0
2020-06-01,Vancouver,2005.0
2020-07-01,Vancouver,2079.0
2020-08-01,Vancouver,2520.0
2020-09-01,Vancouver,1816.0
2020-10-01,Vancouver,1274.0
2020-11-01,Vancouver,2765.0
2020-12-01,Vancouver,2153.0
2021-01-01,Vancouver,1394.0
2021-02-01,Vancouver,2217.0
2021-03-01,Vancouver,3711.0
2021-04-01,Vancouver,1623.0
2021-05-01,Vancouver,2558.0
2021-06-01,Vancouver,3791.0
2021-07-01,Vancouver,2075.0
2021-08-01,Vancouver,1903.0
2021-09-01,Vancouver,1214.0
2021-10-01,Vancouver,1774.0
2021-11-01,Vancouver,1568.0
2021-12-01,Vancouver,2185.0
2022-01-01,Vancouver,1780.0
2022-02-01,Vancouver,1365.0
2022-03-01,Vancouver,1163.0
2022-04-01,Vancouver,2616.0
2022-05-01,Vancouver,2044.0
2022-06-01,Vancouver,2742.0
2022-07-01,Vancouver,1976.0
2022-08-01,Vancouver,1959.0
2022-09-01,Vancouver,2712.0
2022-10-01,Vancouver,2179.0
2022-11-01,Vancouver,2322.0
2022-12-01,Vancouver,3125.0
2023-01-01,Vancouver,2611.0
2023-02-01,Vancouver,1491.0
2023-03-01,Vancouver,3016.0
2023-04-01,Vancouver,4167.0
2023-05-01,Vancouver,2268.0
2023-06-01,Vancouver,3905.0
2023-07-01,Vancouver,2962.0
2023-08-01,Vancouver,2624.0
2023-09-01,Vancouver,2173.0
2023-10-01,Vancouver,2904.0
2023-11-01,Vancouver,1761.0
2023-12-01,Vancouver,3362.0
2024-01-01,Vancouver,1463.0
2024-02-01,Vancouver,2708.0
2024-03-01,Vancouver,3456.0
2024-04-01,Vancouver,2913.0
2024-05-01,Vancouver,1971.0
2024-06-01,Vancouver,1767.0
2024-07-01,Vancouver,2516.0
2024-08-01,Vancouver,1726.0
2024-09-01,Vancouver,1983.0
2024-10-01,Vancouver,2541.0
2024-11-01,Vancouver,2678.0
2024-12-01,Vancouver,2390.0
2025-01-01,Vancouver,2007.0
2025-02-01,Vancouver,1404.0
2025-03-01,Vancouver,1423.0
2025-04-01,Vancouver,3085.0
2025-05-01,Vancouver,1773.0
2025-06-01,Vancouver,3079.0
2025-07-01,Vancouver,3108.0
2025-08-01,Vancouver,2526.0
2025-09-01,Vancouver,1968.0
2025-10-01,Vancouver,1628.0
2025-11-01,Vancouver,2383.0
2025-12-01,Vancouver,2801.0
2026-01-01,Vancouver,2749.0
