date,city,component,value
2011-01-01,Calgary,net_interprovincial_migration,3345
2012-01-01,Calgary,net_interprovincial_migration,4436
2013-01-01,Calgary,net_interprovincial_migration,3575
2014-01-01,Calgary,net_interprovincial_migration,2825
2015-01-01,Calgary,net_interprovincial_migration,3517
2016-01-01,Calgary,net_interprovincial_migration,2816
2017-01-01,Calgary,net_interprovincial_migration,2939
2018-01-01,Calgary,net_interprovincial_migration,2418
2019-01-01,Calgary,net_interprovincial_migration,2972
2020-01-01,Calgary,net_interprovincial_migration,3313
2021-01-01,Calgary,net_interprovincial_migration,2285
2022-01-01,Calgary,net_interprovincial_migration,2069
2023-01-01,Calgary,net_interprovincial_migration,1059
2024-01-01,Calgary,net_interprovincial_migration,-2028
2025-01-01,Calgary,net_interprovincial_migration,-2684
2011-01-01,Vancouver,net_interprovincial_migration,-2064
2012-01-01,Vancouver,net_interprovincial_migration,-3148
2013-01-01,Vancouver,net_interprovincial_migration,-3455
2014-01-01,Vancouver,net_interprovincial_migration,-4388
2015-01-01,Vancouver,net_interprovincial_migration,-5589
2016-01-01,Vancouver,net_interprovincial_migration,-9928
2017-01-01,Vancouver,net_interprovincial_migration,-13099
2018-01-01,Vancouver,net_interprovincial_migration,-14440
2019-01-01,Vancouver,net_interprovincial_migration,-11851
2020-01-01,Vancouver,net_interprovincial_migration,-11148
2021-01-01,Vancouver,net_interprovincial_migration,-13067
2022-01-01,Vancouver,net_interprovincial_migration,-14327
2023-01-01,Vancouver,net_interprovincial_migration,-15387
2024-01-01,Vancouver,net_interprovincial_migration,-16714
2025-01-01,Vancouver,net_interprovincial_migration,-17100
2011-01-01,Calgary,net_intraprovincial_migration,3345
2012-01-01,Calgary,net_intraprovincial_migration,4436
2013-01-01,Calgary,net_intraprovincial_migration,3575
2014-01-01,Calgary,net_intraprovincial_migration,2825
2015-01-01,Calgary,net_intraprovincial_migration,3517
2016-01-01,Calgary,net_intraprovincial_migration,2816
2017-01-01,Calgary,net_intraprovincial_migration,2939
2018-01-01,Calgary,net_intraprovincial_migration,2418
2019-01-01,Calgary,net_intraprovincial_migration,2972
2020-01-01,Calgary,net_intraprovincial_migration,3313
2021-01-01,Calgary,net_intraprovincial_migration,2285
2022-01-01,Calgary,net_intraprovincial_migration,2069
2023-01-01,Calgary,net_intraprovincial_migration,1059
2024-01-01,Calgary,net_intraprovincial_migration,-2028
2025-01-01,Calgary,net_intraprovincial_migration,-2684
2011-01-01,Vancouver,net_intraprovincial_migration,-2064
2012-01-01,Vancouver,net_intraprovincial_migration,-3148
2013-01-01,Vancouver,net_intraprovincial_migration,-3455
2014-01-01,Vancouver,net_intraprovincial_migration,-4388
2015-01-01,Vancouver,net_intraprovincial_migration,-5589
2016-01-01,Vancouver,net_intraprovincial_migration,-9928
2017-01-01,Vancouver,net_intraprovincial_migration,-13099
2018-01-01,Vancouver,net_intraprovincial_migration,-14440
2019-01-01,Vancouver,net_intraprovincial_migration,-11851
2020-01-01,Vancouver,net_intraprovincial_migration,-11148
2021-01-01,Vancouver,net_intraprovincial_migration,-13067
2022-01-01,Vancouver,net_intraprovincial_migration,-14327
2023-01-01,Vancouver,net_intraprovincial_migration,-15387
2024-01-01,Vancouver,net_intraprovincial_migration,-16714
2025-01-01,Vancouver,net_intraprovincial_migration,-17100
